x-axis,CH2
second,Volt
1.9400e-03,4.6000e-02
1.9450e-03,4.6000e-02
1.9500e-03,4.6000e-02
1.9550e-03,4.6000e-02
1.9600e-03,4.6000e-02
1.9650e-03,4.6000e-02
1.9700e-03,4.6000e-02
1.9750e-03,4.6000e-02
1.9800e-03,4.6000e-02
1.9850e-03,4.6000e-02
1.9900e-03,4.6000e-02
1.9950e-03,4.6000e-02
2.0000e-03,4.6000e-02
2.0050e-03,4.6000e-02
2.0100e-03,4.6000e-02
2.0150e-03,4.6000e-02
2.0200e-03,4.6000e-02
2.0250e-03,4.6000e-02
2.0300e-03,4.6000e-02
2.0350e-03,4.6000e-02
2.0400e-03,4.6000e-02
2.0450e-03,4.6000e-02
2.0500e-03,4.6000e-02
2.0550e-03,4.6000e-02
2.0600e-03,4.6000e-02
2.0650e-03,4.6000e-02
2.0700e-03,4.6000e-02
2.0750e-03,4.6000e-02
2.0800e-03,4.6000e-02
2.0850e-03,4.6000e-02
2.0900e-03,4.6000e-02
2.0950e-03,4.6000e-02
2.1000e-03,4.6000e-02
2.1050e-03,4.6000e-02
2.1100e-03,4.6000e-02
2.1150e-03,4.6000e-02
2.1200e-03,4.6000e-02
2.1250e-03,4.6000e-02
2.1300e-03,4.6000e-02
2.1350e-03,4.6000e-02
2.1400e-03,4.6000e-02
2.1450e-03,4.6000e-02
2.1500e-03,4.6000e-02
2.1550e-03,4.6000e-02
2.1600e-03,4.6000e-02
2.1650e-03,4.6000e-02
2.1700e-03,4.6000e-02
2.1750e-03,4.6000e-02
2.1800e-03,4.6000e-02
2.1850e-03,4.6000e-02
2.1900e-03,4.6000e-02
2.1950e-03,4.6000e-02
2.2000e-03,4.6000e-02
2.2050e-03,4.6000e-02
2.2100e-03,4.6000e-02
2.2150e-03,4.6000e-02
2.2200e-03,4.6000e-02
2.2250e-03,4.6000e-02
2.2300e-03,4.6000e-02
2.2350e-03,4.6000e-02
2.2400e-03,4.6000e-02
2.2450e-03,4.6000e-02
2.2500e-03,4.6000e-02
2.2550e-03,4.6000e-02
2.2600e-03,4.6000e-02
2.2650e-03,4.6000e-02
2.2700e-03,4.6000e-02
2.2750e-03,4.6000e-02
2.2800e-03,4.6000e-02
2.2850e-03,4.6000e-02
2.2900e-03,4.6000e-02
2.2950e-03,4.6000e-02
2.3000e-03,4.6000e-02
2.3050e-03,4.6000e-02
2.3100e-03,4.6000e-02
2.3150e-03,4.6000e-02
2.3200e-03,4.6000e-02
2.3250e-03,4.6000e-02
2.3300e-03,4.6000e-02
2.3350e-03,4.6000e-02
2.3400e-03,4.6000e-02
2.3450e-03,4.6000e-02
2.3500e-03,4.6000e-02
2.3550e-03,4.6000e-02
2.3600e-03,4.6000e-02
2.3650e-03,4.6000e-02
2.3700e-03,4.6000e-02
2.3750e-03,4.6000e-02
2.3800e-03,4.6000e-02
2.3850e-03,4.6000e-02
2.3900e-03,4.6000e-02
2.3950e-03,4.6000e-02
2.4000e-03,4.6000e-02
2.4050e-03,4.6000e-02
2.4100e-03,4.6000e-02
2.4150e-03,4.6000e-02
2.4200e-03,4.6000e-02
2.4250e-03,4.6000e-02
2.4300e-03,4.6000e-02
2.4350e-03,4.6000e-02
2.4400e-03,4.6000e-02
2.4450e-03,4.6000e-02
2.4500e-03,4.6000e-02
2.4550e-03,4.6000e-02
2.4600e-03,4.6000e-02
2.4650e-03,4.6000e-02
2.4700e-03,4.6000e-02
2.4750e-03,4.6000e-02
2.4800e-03,4.6000e-02
2.4850e-03,4.6000e-02
2.4900e-03,4.6000e-02
2.4950e-03,4.6000e-02
2.5000e-03,4.6000e-02
2.5050e-03,4.6000e-02
2.5100e-03,4.6000e-02
2.5150e-03,4.6000e-02
2.5200e-03,4.6000e-02
2.5250e-03,4.6000e-02
2.5300e-03,4.6000e-02
2.5350e-03,4.6000e-02
2.5400e-03,4.6000e-02
2.5450e-03,4.6000e-02
2.5500e-03,4.6000e-02
2.5550e-03,4.6000e-02
2.5600e-03,4.6000e-02
2.5650e-03,4.6000e-02
2.5700e-03,4.6000e-02
2.5750e-03,4.6000e-02
2.5800e-03,4.6000e-02
2.5850e-03,4.6000e-02
2.5900e-03,4.6000e-02
2.5950e-03,4.6000e-02
2.6000e-03,4.6000e-02
2.6050e-03,4.6000e-02
2.6100e-03,4.6000e-02
2.6150e-03,4.6000e-02
2.6200e-03,4.6000e-02
2.6250e-03,4.6000e-02
2.6300e-03,4.6000e-02
2.6350e-03,4.6000e-02
2.6400e-03,4.6000e-02
2.6450e-03,4.6000e-02
2.6500e-03,4.6000e-02
2.6550e-03,4.6000e-02
2.6600e-03,4.6000e-02
