x-axis,CH1,CH2
second,Volt,Volt
-3.00000e-02,7.2000e-01,-2.4000e-01
-2.99500e-02,5.6000e-01,-4.0000e-01
-2.99000e-02,-4.0000e-01,-9.6000e-01
-2.98500e-02,-4.8000e-01,-1.0400e+00
-2.98000e-02,-3.2000e-01,-9.6000e-01
-2.97500e-02,-4.0000e-01,-1.0400e+00
-2.97000e-02,-1.6000e-01,-8.0000e-01
-2.96500e-02,-3.2000e-01,-9.6000e-01
-2.96000e-02,-8.0000e-02,-8.0000e-01
-2.95500e-02,-8.0000e-02,-8.8000e-01
-2.95000e-02,0.0000e+00,-7.2000e-01
-2.94500e-02,0.0000e+00,-8.0000e-01
-2.94000e-02,1.6000e-01,-6.4000e-01
-2.93500e-02,8.0000e-02,-6.4000e-01
-2.93000e-02,2.4000e-01,-5.6000e-01
-2.92500e-02,2.4000e-01,-6.4000e-01
-2.92000e-02,4.0000e-01,-4.8000e-01
-2.91500e-02,3.2000e-01,-5.6000e-01
-2.91000e-02,5.6000e-01,-3.2000e-01
-2.90500e-02,4.0000e-01,-4.8000e-01
-2.90000e-02,7.2000e-01,-2.4000e-01
-2.89500e-02,6.4000e-01,-3.2000e-01
-2.89000e-02,7.2000e-01,-1.6000e-01
-2.88500e-02,7.2000e-01,-3.2000e-01
-2.88000e-02,8.0000e-01,-8.0000e-02
-2.87500e-02,8.0000e-01,-1.6000e-01
-2.87000e-02,9.6000e-01,8.0000e-02
-2.86500e-02,8.8000e-01,-1.6000e-01
-2.86000e-02,1.1200e+00,8.0000e-02
-2.85500e-02,1.0400e+00,8.0000e-02
-2.85000e-02,1.1200e+00,1.6000e-01
-2.84500e-02,1.2000e+00,1.6000e-01
-2.84000e-02,1.2800e+00,3.2000e-01
-2.83500e-02,1.2000e+00,2.4000e-01
-2.83000e-02,1.2800e+00,4.0000e-01
-2.82500e-02,1.2800e+00,3.2000e-01
-2.82000e-02,1.3600e+00,4.8000e-01
-2.81500e-02,1.3600e+00,4.8000e-01
-2.81000e-02,1.5200e+00,6.4000e-01
-2.80500e-02,1.5200e+00,5.6000e-01
-2.80000e-02,1.5200e+00,6.4000e-01
-2.79500e-02,1.5200e+00,5.6000e-01
-2.79000e-02,1.6000e+00,8.8000e-01
-2.78500e-02,1.6000e+00,7.2000e-01
-2.78000e-02,1.6800e+00,8.8000e-01
-2.77500e-02,1.6800e+00,8.0000e-01
-2.77000e-02,1.7600e+00,9.6000e-01
-2.76500e-02,1.6800e+00,8.8000e-01
-2.76000e-02,1.7600e+00,9.6000e-01
-2.75500e-02,1.7600e+00,9.6000e-01
-2.75000e-02,1.7600e+00,1.1200e+00
-2.74500e-02,1.7600e+00,1.0400e+00
-2.74000e-02,1.8400e+00,1.1200e+00
-2.73500e-02,1.7600e+00,1.1200e+00
-2.73000e-02,1.9200e+00,1.2800e+00
-2.72500e-02,1.9200e+00,1.2000e+00
-2.72000e-02,1.9200e+00,1.2800e+00
-2.71500e-02,1.9200e+00,1.2000e+00
-2.71000e-02,1.8400e+00,1.3600e+00
-2.70500e-02,1.9200e+00,1.2800e+00
-2.70000e-02,1.8400e+00,1.4400e+00
-2.69500e-02,1.9200e+00,1.3600e+00
-2.69000e-02,1.9200e+00,1.4400e+00
-2.68500e-02,1.8400e+00,1.3600e+00
-2.68000e-02,1.8400e+00,1.5200e+00
-2.67500e-02,1.9200e+00,1.3600e+00
-2.67000e-02,1.7600e+00,1.5200e+00
-2.66500e-02,1.9200e+00,1.5200e+00
-2.66000e-02,1.9200e+00,1.5200e+00
-2.65500e-02,1.7600e+00,1.5200e+00
-2.65000e-02,1.8400e+00,1.6000e+00
-2.64500e-02,1.8400e+00,1.5200e+00
-2.64000e-02,1.7600e+00,1.6000e+00
-2.63500e-02,1.7600e+00,1.5200e+00
-2.63000e-02,1.6800e+00,1.6000e+00
-2.62500e-02,1.7600e+00,1.6000e+00
-2.62000e-02,1.6000e+00,1.6000e+00
-2.61500e-02,1.6000e+00,1.5200e+00
-2.61000e-02,1.5200e+00,1.6000e+00
-2.60500e-02,1.6000e+00,1.6000e+00
-2.60000e-02,1.5200e+00,1.6000e+00
-2.59500e-02,1.5200e+00,1.6000e+00
-2.59000e-02,1.5200e+00,1.6800e+00
-2.58500e-02,1.4400e+00,1.6000e+00
-2.58000e-02,1.2800e+00,1.6000e+00
-2.57500e-02,1.2800e+00,1.5200e+00
-2.57000e-02,1.2800e+00,1.6000e+00
-2.56500e-02,1.3600e+00,1.5200e+00
-2.56000e-02,1.2000e+00,1.5200e+00
-2.55500e-02,1.2000e+00,1.4400e+00
-2.55000e-02,1.1200e+00,1.5200e+00
-2.54500e-02,1.0400e+00,1.5200e+00
-2.54000e-02,8.8000e-01,1.4400e+00
-2.53500e-02,9.6000e-01,1.4400e+00
-2.53000e-02,8.8000e-01,1.4400e+00
-2.52500e-02,8.8000e-01,1.4400e+00
-2.52000e-02,7.2000e-01,1.3600e+00
-2.51500e-02,7.2000e-01,1.3600e+00
-2.51000e-02,6.4000e-01,1.2800e+00
-2.50500e-02,6.4000e-01,1.2800e+00
-2.50000e-02,5.6000e-01,1.2000e+00
-2.49500e-02,5.6000e-01,1.2000e+00
-2.49000e-02,4.0000e-01,1.2000e+00
-2.48500e-02,3.2000e-01,1.2000e+00
-2.48000e-02,2.4000e-01,1.1200e+00
-2.47500e-02,3.2000e-01,1.1200e+00
-2.47000e-02,1.6000e-01,1.0400e+00
-2.46500e-02,2.4000e-01,1.0400e+00
-2.46000e-02,0.0000e+00,9.6000e-01
-2.45500e-02,8.0000e-02,8.8000e-01
-2.45000e-02,-8.0000e-02,8.8000e-01
-2.44500e-02,0.0000e+00,8.8000e-01
-2.44000e-02,-1.6000e-01,8.0000e-01
-2.43500e-02,-1.6000e-01,8.0000e-01
-2.43000e-02,-2.4000e-01,7.2000e-01
-2.42500e-02,-2.4000e-01,7.2000e-01
-2.42000e-02,-4.8000e-01,6.4000e-01
-2.41500e-02,-4.8000e-01,6.4000e-01
-2.41000e-02,-5.6000e-01,4.8000e-01
-2.40500e-02,-4.8000e-01,6.4000e-01
-2.40000e-02,-7.2000e-01,4.8000e-01
-2.39500e-02,-6.4000e-01,4.8000e-01
-2.39000e-02,-7.2000e-01,3.2000e-01
-2.38500e-02,-7.2000e-01,3.2000e-01
-2.38000e-02,-8.8000e-01,8.0000e-02
-2.37500e-02,-8.8000e-01,3.2000e-01
-2.37000e-02,-1.0400e+00,1.6000e-01
-2.36500e-02,-9.6000e-01,0.0000e+00
-2.36000e-02,-1.0400e+00,0.0000e+00
-2.35500e-02,-1.0400e+00,8.0000e-02
-2.35000e-02,-1.1200e+00,-8.0000e-02
-2.34500e-02,-1.1200e+00,0.0000e+00
-2.34000e-02,-1.2800e+00,-1.6000e-01
-2.33500e-02,-1.2000e+00,-1.6000e-01
-2.33000e-02,-1.2800e+00,-2.4000e-01
-2.32500e-02,-1.2800e+00,-2.4000e-01
-2.32000e-02,-1.3600e+00,-3.2000e-01
-2.31500e-02,-1.4400e+00,-4.0000e-01
-2.31000e-02,-1.5200e+00,-4.8000e-01
-2.30500e-02,-1.4400e+00,-4.0000e-01
-2.30000e-02,-1.5200e+00,-4.8000e-01
-2.29500e-02,-1.5200e+00,-5.6000e-01
-2.29000e-02,-1.6800e+00,-6.4000e-01
-2.28500e-02,-1.6800e+00,-5.6000e-01
-2.28000e-02,-1.6800e+00,-7.2000e-01
-2.27500e-02,-1.6800e+00,-7.2000e-01
-2.27000e-02,-1.7600e+00,-8.0000e-01
-2.26500e-02,-1.6000e+00,-8.0000e-01
-2.26000e-02,-1.8400e+00,-8.8000e-01
-2.25500e-02,-1.7600e+00,-8.0000e-01
-2.25000e-02,-1.7600e+00,-9.6000e-01
-2.24500e-02,-1.6800e+00,-8.8000e-01
-2.24000e-02,-1.7600e+00,-1.0400e+00
-2.23500e-02,-1.8400e+00,-9.6000e-01
-2.23000e-02,-1.8400e+00,-1.0400e+00
-2.22500e-02,-1.8400e+00,-1.1200e+00
-2.22000e-02,-1.8400e+00,-1.1200e+00
-2.21500e-02,-1.9200e+00,-1.1200e+00
-2.21000e-02,-1.9200e+00,-1.2000e+00
-2.20500e-02,-1.9200e+00,-1.2000e+00
-2.20000e-02,-1.8400e+00,-1.2000e+00
-2.19500e-02,-1.8400e+00,-1.2000e+00
-2.19000e-02,-1.8400e+00,-1.2800e+00
-2.18500e-02,-1.8400e+00,-1.2800e+00
-2.18000e-02,-1.8400e+00,-1.3600e+00
-2.17500e-02,-1.9200e+00,-1.3600e+00
-2.17000e-02,-1.8400e+00,-1.3600e+00
-2.16500e-02,-1.8400e+00,-1.4400e+00
-2.16000e-02,-1.8400e+00,-1.4400e+00
-2.15500e-02,-1.7600e+00,-1.4400e+00
-2.15000e-02,-1.6800e+00,-1.4400e+00
-2.14500e-02,-1.7600e+00,-1.4400e+00
-2.14000e-02,-1.6800e+00,-1.4400e+00
-2.13500e-02,-1.6800e+00,-1.4400e+00
-2.13000e-02,-1.6800e+00,-1.4400e+00
-2.12500e-02,-1.6800e+00,-1.5200e+00
-2.12000e-02,-1.5200e+00,-1.4400e+00
-2.11500e-02,-1.5200e+00,-1.4400e+00
-2.11000e-02,-1.5200e+00,-1.3600e+00
-2.10500e-02,-1.5200e+00,-1.4400e+00
-2.10000e-02,-1.4400e+00,-1.4400e+00
-2.09500e-02,-1.4400e+00,-1.4400e+00
-2.09000e-02,-1.3600e+00,-1.4400e+00
-2.08500e-02,-1.3600e+00,-1.4400e+00
-2.08000e-02,-1.2800e+00,-1.4400e+00
-2.07500e-02,-1.2800e+00,-1.4400e+00
-2.07000e-02,-1.1200e+00,-1.4400e+00
-2.06500e-02,-1.2000e+00,-1.3600e+00
-2.06000e-02,-1.0400e+00,-1.3600e+00
-2.05500e-02,-1.1200e+00,-1.3600e+00
-2.05000e-02,-8.8000e-01,-1.2800e+00
-2.04500e-02,-9.6000e-01,-1.2800e+00
-2.04000e-02,-8.8000e-01,-1.2000e+00
-2.03500e-02,-9.6000e-01,-1.2800e+00
-2.03000e-02,-8.0000e-01,-1.1200e+00
-2.02500e-02,-8.0000e-01,-1.2800e+00
-2.02000e-02,-6.4000e-01,-1.1200e+00
-2.01500e-02,-7.2000e-01,-1.2000e+00
-2.01000e-02,-5.6000e-01,-1.0400e+00
-2.00500e-02,-5.6000e-01,-1.1200e+00
-2.00000e-02,-4.0000e-01,-1.0400e+00
-1.99500e-02,-4.8000e-01,-1.1200e+00
-1.99000e-02,-2.4000e-01,-9.6000e-01
-1.98500e-02,-3.2000e-01,-1.0400e+00
-1.98000e-02,-1.6000e-01,-8.8000e-01
-1.97500e-02,-2.4000e-01,-9.6000e-01
-1.97000e-02,-8.0000e-02,-8.0000e-01
-1.96500e-02,0.0000e+00,-8.0000e-01
-1.96000e-02,8.0000e-02,-6.4000e-01
-1.95500e-02,8.0000e-02,-8.0000e-01
-1.95000e-02,1.6000e-01,-6.4000e-01
-1.94500e-02,1.6000e-01,-7.2000e-01
-1.94000e-02,2.4000e-01,-5.6000e-01
-1.93500e-02,2.4000e-01,-6.4000e-01
-1.93000e-02,4.0000e-01,-4.0000e-01
-1.92500e-02,4.0000e-01,-4.8000e-01
-1.92000e-02,5.6000e-01,-4.0000e-01
-1.91500e-02,4.0000e-01,-4.0000e-01
-1.91000e-02,6.4000e-01,-2.4000e-01
-1.90500e-02,5.6000e-01,-3.2000e-01
-1.90000e-02,8.0000e-01,-1.6000e-01
-1.89500e-02,7.2000e-01,-2.4000e-01
-1.89000e-02,8.8000e-01,-8.0000e-02
-1.88500e-02,8.8000e-01,-1.6000e-01
-1.88000e-02,1.0400e+00,0.0000e+00
-1.87500e-02,8.8000e-01,-8.0000e-02
-1.87000e-02,1.1200e+00,1.6000e-01
-1.86500e-02,1.0400e+00,0.0000e+00
-1.86000e-02,1.2000e+00,2.4000e-01
-1.85500e-02,1.0400e+00,1.6000e-01
-1.85000e-02,1.2800e+00,3.2000e-01
-1.84500e-02,1.2000e+00,2.4000e-01
-1.84000e-02,1.2800e+00,4.0000e-01
-1.83500e-02,1.2800e+00,3.2000e-01
-1.83000e-02,1.4400e+00,4.8000e-01
-1.82500e-02,1.3600e+00,4.8000e-01
-1.82000e-02,1.4400e+00,6.4000e-01
-1.81500e-02,1.4400e+00,5.6000e-01
-1.81000e-02,1.6000e+00,6.4000e-01
-1.80500e-02,1.4400e+00,6.4000e-01
-1.80000e-02,1.6000e+00,8.0000e-01
-1.79500e-02,1.6000e+00,6.4000e-01
-1.79000e-02,1.6800e+00,8.8000e-01
-1.78500e-02,1.6800e+00,7.2000e-01
-1.78000e-02,1.6800e+00,9.6000e-01
-1.77500e-02,1.6800e+00,9.6000e-01
-1.77000e-02,1.7600e+00,9.6000e-01
-1.76500e-02,1.7600e+00,9.6000e-01
-1.76000e-02,1.8400e+00,1.1200e+00
-1.75500e-02,1.7600e+00,1.0400e+00
-1.75000e-02,1.8400e+00,1.1200e+00
-1.74500e-02,1.8400e+00,1.1200e+00
-1.74000e-02,1.8400e+00,1.2000e+00
-1.73500e-02,1.8400e+00,1.2000e+00
-1.73000e-02,1.8400e+00,1.2800e+00
-1.72500e-02,1.8400e+00,1.2000e+00
-1.72000e-02,1.9200e+00,1.2800e+00
-1.71500e-02,1.8400e+00,1.2800e+00
-1.71000e-02,1.8400e+00,1.4400e+00
-1.70500e-02,1.9200e+00,1.2800e+00
-1.70000e-02,1.9200e+00,1.5200e+00
-1.69500e-02,1.9200e+00,1.4400e+00
-1.69000e-02,1.8400e+00,1.4400e+00
-1.68500e-02,1.9200e+00,1.3600e+00
-1.68000e-02,1.8400e+00,1.5200e+00
-1.67500e-02,1.8400e+00,1.5200e+00
-1.67000e-02,1.7600e+00,1.6000e+00
-1.66500e-02,1.8400e+00,1.5200e+00
-1.66000e-02,1.7600e+00,1.6000e+00
-1.65500e-02,1.7600e+00,1.5200e+00
-1.65000e-02,1.6800e+00,1.6000e+00
-1.64500e-02,1.7600e+00,1.6000e+00
-1.64000e-02,1.6800e+00,1.6800e+00
-1.63500e-02,1.6800e+00,1.6000e+00
-1.63000e-02,1.6000e+00,1.6000e+00
-1.62500e-02,1.6000e+00,1.6000e+00
